id,title,author,intro,tags,genre,series_count,view_count,recommend_count,link
0,선독점 조선에는 쿠데타가 필요해요,앙금고라니,제국주의에 조선이 살아남기 위해선 내가 군부를 장악해야 한다.,"현대판타지,대체역사,빙의,전쟁,군인,무인,대한제국,조선,한국사","대체역사, 전쟁·밀리터리",794 회,"2,105,565","118,861",https://novel.munpia.com/372155
1,선독점 이세계 산업역군 네크로맨서,벼루입니다,"지구에서는 과로사로 죽었고 이세계에서는 산업재해로 죽었다.
세번째 삶은 사령술로 노동혁명 해본다.","판타지,퓨전","판타지, 퓨전",200 회,"775,727","21,482",https://novel.munpia.com/397434
2,선독점 놀고먹고 싶은 회장님,현우001,"재벌가에서 태어났다. 골치아픈 회장님보다 강남 건물 하나 받아서 놀고 먹는 도련님이 되고 싶었다.
그런데 그게 말처럼 쉽지 않다?","경영,재벌,천재,착각,투자","현대판타지, 퓨전",176 회,"1,930,642","41,559",https://novel.munpia.com/412149
3,선독점 신화급 창고를 얻었다!,앤비즈,"[레벨 1,635,256,739 헌터의 유산] 을 얻었습니다.
뭐지? 버근가?","판타지,현대판타지,게임시스템,사이다,헌터,탑등반물","판타지, 현대판타지",173 회,"748,404","15,193",https://novel.munpia.com/412352
4,선독점 초대 콧수염 대마왕이 되었다,리첼렌,"그래서 나, 오토 폰 비스마르크는 독일 민족의 황제가 되기로 했다.","대체역사,빙의,군주,세계사","대체역사, 판타지",219 회,"1,027,823","69,262",https://novel.munpia.com/399859
5,"선독점 무역재벌, 조선의 개혁군주가 되었다.",다물랑,"박람회장 테러사건에 휘말려 비명횡사한 이정후가 1890년 조선 땅에 왕족으로 되살아나 벌이는 대개혁의 신역사!
그리고 1910부산만국박람회로 대한제국이 열강의 반열에 올라서는 기적 같은 일이 펼쳐진다.","판타지,퓨전,대체역사,전쟁_밀리터리,드라마,빙의","대체역사, 퓨전",182 회,"631,401","18,701",https://novel.munpia.com/419017
6,선독점 마교교주가 정체를 숨김,굴강적소비토,"강남도 유주성에 사는 안경과 조청매는 서로를 깊이 사랑하는 신혼부부다.
안경은 의술이 뛰어나고 인품이 좋기로 유명한 의원, 조청매는 온화한 성품에 교양과 미모를 두루 갖춘 대갓집 규수.
신분 차이가 있는 두 사람은 중매로 만나 결혼을 하였지만 무척이나 금슬이 좋았다.
그러나.
이처럼 사이 좋은 신혼부부에게도 서로에게 말하지 못 할 비밀이 있었으니.
안경은 근래 강호를 떠들썩하게 만든 절세의 검객 ‘귀검객(鬼劍客)’이요, 조청매는 천외천(天外天)의 강자로 악명 높은 신임 마교교주라는 사실이다.
서로의 정체를 꿈에도 모르는 두 사람.
오늘도 부부의 평화로운 일상을 지키고자 고군분투하는데…

원제: 我的夫人竟是魔教教主
작가: 굴강적소비토(倔强的小肥兔)
번역: 황용","퓨전,무협,천마,빙의,시스템,천재,착각,힐링,칼잡이,순애","무협, 퓨전",593 회,"328,428","13,631",https://novel.munpia.com/380530
7,선독점 아포칼립스에 우주선이 추락함,소하드,"우주 해적의 공격을 받고 워프를 실패한 개척선 '777', 그리고 개척자 김정후.
비상착륙 후 정신을 차리니 웬걸...
세상이 좀비로 뒤덮혀 있다.","현대판타지,SF,디스토피아,우주,전염병","현대판타지, SF",131 회,"297,383","7,437",https://novel.munpia.com/388006
8,선독점 경제왕 연산군,라구.B.P,"젊음의 치기로 복수전공이라는 잘못된 선택을 한 사학과&경제학과 학부생 박경식. 이제 4학년이니 이 고생도 곧 끝이다!

급한 마음에 사학과 졸업논문을 날림으로 썼는데, 교수가 갑자기 부른다. 교수를 따라갔더니 대학원 오라는 권유가 아니라 자기가 산신령이라고 커밍아웃해오는데?!

정신을 차리니 조선의 왕으로 즉위해 있다.

조선의 파이어족이 되기 위해 조선의 경제부터 정치까지 모든 걸 뜯어고치기 위한 박경식의 분투가 시작된다.","대체역사,경영,정치,군주,조선,한국사",대체역사,126 회,"1,667,277","77,596",https://novel.munpia.com/414764
9,선독점 이혼했더니 먼치킨이 되어버렸다,앱솔,"아내의 불륜으로 이혼한 순간.
인생이 술술 풀리기 시작했다.","현대판타지,게이트,레이드,천재,이혼,후회,헌터,먼치킨,나혼자,탑등반물",현대판타지,105 회,"522,501","7,864",https://novel.munpia.com/423794
10,선독점 하남자의 현금 사용법,째개,"각성 사태 후 등장한 게이트 공략 전용 상점, 벨 마켓.
그곳의 모든 이용은 '벨' 이라는 이세계 화폐로만 이루어진다.

오직 게이트 공략으로만 얻을 수 있는 입수 난이도 상급의 벨화.
그런데... 나는 현금으로 벨 마켓 이용이 가능하다고...?","판타지,현대판타지,퓨전,게이트,경영,사이다,육성,나혼자","판타지, 현대판타지",161 회,"711,028","11,947",https://novel.munpia.com/415578
11,선독점 특전 독식자의 미궁 공략법,별하늘고래,"낯선 장소, 두 사람이 죽었다.
아주 특별한 선물을 남긴 채.","판타지,퓨전,사이다,시스템,몬스터,이종족,나혼자,신화","현대판타지, 퓨전",150 회,"1,354,866","34,465",https://novel.munpia.com/419162
12,선독점 절대급 반지로 9서클 대마법사,남호원,"만년 1서클이었던 크리스
마탑에서 퇴출 당하며 반지 하나를 얻었다
반지 기연으로 그제야 알게 된 사실
자신은 둔재가 아니라 마법 천재였음을!
그리고 9서클이 된다!","판타지,마법,천재,마법사,용병,노력가",판타지,65 회,"242,319","5,821",https://novel.munpia.com/432507
